Municipality,Population Density
Trooz,337.9124962011118
Arrondissement de Verviers,143.20070422309706
Amblève,43.46657859218755
Aubel,227.67726132289513
Baelen,52.06109817544903
Bullange,36.359631723525126
Butgenbach,57.83134795532475
Dison,1090.9445520706017
Eupen,204.98698102962533
Herve,309.6899558414378
Jalhay,80.27723990260768
La Calamine,616.9133561075145
Lierneux,39.141575642286284
Limbourg,239.86690145925252
Lontzen,200.74176939590728
Malmedy,126.91608700998758
Olne,254.59549549431492
Pepinster,392.66985201265
Raeren,147.7810318876826
Saint-Vith,66.0702062473709
Spa,256.8149870086113
Stavelot,84.22120880824852
Stoumont,29.17281250101902
Theux,144.11656146533014
Verviers,1672.8934654097072
Waimes,76.12420143790364
Welkenraedt,403.04929641060056
Trois-Ponts,37.08217732949933
Burg-Reuland,35.82902509413928
Plombières,196.6181601262507
Thimister-Clermont,198.98178576587634
Arrondissement de Waremme,208.48654138031597
Berloz,215.89183074824925
Braives,144.75469936765015
Crisnée,200.9789181243578
Donceel,130.48920873433357
Fexhe-le-Haut-Clocher,166.30077581137985
Geer,147.63804337101584
Hannut,191.59279795608143
Lincent,224.7336827802957
Oreye,199.76387345997182
Remicourt,258.73858238243474
Saint-Georges-sur-Meuse,325.3339658607362
Waremme,496.3498990354906
Wasseiges,119.97042771847087
Faimes,137.94068543515326
Province du Limbourg,360.07150144491544
Arrondissement de Hasselt,473.47619978197105
As,370.6496455239107
Beringen,589.9336965491603
Diepenbeek,459.5261884411839
Genk,756.1240746779359
Gingelom,149.17800523040626
Halen,257.58440855537634
Hasselt,762.5615843765491
Herck-la-Ville,293.6064818533605
Bourg-Léopold,697.3893028935481
Lummen,277.2608128784277
Nieuwerkerken (Hasselt),308.62878456769
Saint-Trond,378.92734527926916
Tessenderlo,360.44408074055855
Zonhoven,535.2826693004412
Zutendaal,227.01210461305786
Ham,332.3009448117567
Heusden-Zolder,631.2527175347091
Arrondissement de Maaseik,276.33984009462785
Bocholt,221.13395230486432
Bree,247.51633477011296
Kinrooi,222.14504746831287
Lommel,333.17956566970315
Maaseik,328.0046898309296
Peer,187.49769023753848
Hamont-Achel,328.5886284872094
Hechtel-Eksel,161.96637059603637
Houthalen-Helchteren,391.9244814006807
Dilsen-Stokkem,312.5134988680455
Oudsbergen,202.22163305363637
Pelt,392.7288606487186
Arrondissement de Tongres,322.15741178524036
Alken,407.257910424439
Bilzen,425.5090461935953
Looz,212.50209900867557
Heers,139.29614305357688
Herstappe,61.60240472037703
Hoeselt,321.82490399898006
Kortessem,248.39120207895374
Lanaken,438.2813198568626
Riemst,288.61035037847745
Tongres,352.97934737152406
Wellen,275.04443355509255
Maasmechelen,501.188448769571
Fourons,81.92320756428235
Province du Luxembourg,63.830912210912714
Arrondissement d’Arlon,196.38833131115098
Arlon,250.77560448066075
Attert,78.47042377559868
Aubange,370.6497605445986
Martelange,62.55842134557362
Messancy,156.16947926923325
Arrondissement de Bastogne,46.25626487640695
Bastogne,92.38143456919177
Bertogne,39.916445356213586
Fauvillers,30.491661940748696
Houffalize,31.02087717578479
Vielsalm,55.54119521155004
Vaux-sur-Sûre,41.55366164346013
Gouvy,31.96663181944985
Sainte-Ode,26.087512055008688
Arrondissement de Marche-en-Famenne,58.9488276902605
Durbuy,72.5429078886061
Erezée,41.626218210162364
Hotton,97.43396534002385
La Roche-en-Ardenne,28.634576415975765
Marche-en-Famenne,143.07110411055282
Nassogne,48.608183183218365
Rendeux,38.08939217794393
Tenneville,30.800872273742144
Manhay,29.59110091410872
Arrondissement de Neufchâteau,46.65317447291028
Bertrix,63.48663441004609
Bouillon,36.40289186833466
Daverdisse,24.538674243505653
Herbeumont,27.800306087532654
Léglise,31.496254467260975
Libin,37.161759418270115
Neufchâteau (Neufchâteau),67.25107580757195
Paliseul,48.43055915619353
Saint-Hubert,49.736380216077194
Tellin,42.690998288796635
Wellin,45.557858406529576
Libramont-Chevigny,62.92952989844136
Arrondissement de Virton,69.1534682351692
Chiny,45.4207580861313
Etalle,73.9996682165633
Florenville,37.6601407521092
Meix-devant-Virton,51.095557696916394
Musson,128.66433248288405
Saint-Léger (Virton),99.52938160861439
Tintigny,52.542045244321734
Virton,118.50428269792714
Habay,81.22275550781849
Rouvroy,74.97869494795191
Province de Namur,134.51671088370801
Arrondissement de Dinant,69.54173721689521
Anhée,106.7115313486402
Beauraing,52.4419179134486
Bièvre,30.624230811514188
Ciney,112.12559603241483
Dinant,134.43475821017734
Gedinne,30.55945091791961
Hamois,96.0609011228053
Havelange,49.403695014522775
Houyet,40.34509711213849
Onhaye,49.361310184721724
Rochefort,75.81607519146279
Somme-Leuze,59.23177635593281
Yvoir,160.60149156686245
Hastière,106.40684783725344
Vresse-sur-Semois,25.77222073726705
Arrondissement de Namur,271.44003912041507
Andenne,317.988840334252
Assesse,89.52573702616813
Eghezée,158.27904321137046
Floreffe,208.19092211910956
Fosses-la-Ville,164.0894425203355
Gesves,110.78699871959643
Mettet,112.02741725252837
Namur,629.8076172786363
Ohey,90.46988757347481
Profondeville,242.49710581093316
Sombreffe,235.18251905055035
Sambreville,825.697740568969
Fernelmont,122.0078475411082
Jemeppe-sur-Sambre,408.6255465579622
La Bruyère,174.8782196416897
Gembloux,269.63767988706684
Arrondissement de Philippeville,72.85049239774618
Cerfontaine,58.99933461262299
Couvin,66.41654230011699
Doische,35.62752270232228
Florennes,84.28752751622604
Philippeville,59.036877252862396
Walcourt,149.0557005948309
Viroinval,46.720886066434026
