Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%),Population Density
340000,8400,APARTMENT,APARTMENT,TO_BE_DONE_UP,3,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,oostende,Other,107.55120326561163,4.043747855309444,1754096553.2486956,72.2,5.4,
195000,8810,HOUSE,HOUSE,TO_BE_DONE_UP,2,143.0,0,1.0,0.0,212.0,3.0,0.0,0.0,lichtervelde,Other,86.74697371026805,28.49015484431557,622241488.28,72.2,5.4,341.2141727507799
225000,2830,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0,willebroek,Antwerp,23.74574258674539,15.631229716114856,1810658407.99,76.2,3.4,967.3476837740347
109000,7500,APARTMENT,FLAT_STUDIO,AS_NEW,1,54.0,0,0.0,0.0,0.0,2.0,0.0,0.0,tournai,Hainaut,73.08065276084149,77.0202389857387,4269738107.12,72.2,5.4,322.1409858638898
495000,9280,HOUSE,HOUSE,GOOD,3,208.0,0,1.0,0.0,182.0,3.0,0.0,0.0,lebbeke,East Flanders,21.926629841998444,26.38515361087713,1408074567.37,72.2,5.4,707.596464266342
259000,9550,APARTMENT,APARTMENT,GOOD,2,110.0,0,1.0,0.0,0.0,2.0,0.0,1.0,herzele,East Flanders,32.64900388427457,42.2119623682675,1390051109.48,72.2,5.4,376.3383764457228
399000,1080,APARTMENT,APARTMENT,AS_NEW,2,119.0,0,1.0,0.0,0.0,2.0,0.0,1.0,molenbeek-saint-jean,Brussels Capital,2.399759810530328,12.726787855951292,3712648187.18,63.7,12.3,16228.482216805807
209900,3970,APARTMENT,GROUND_FLOOR,GOOD,1,86.0,0,1.0,1.0,0.0,2.0,0.0,1.0,leopoldsburg,Limburg,70.71141880220866,55.23782342150398,2799507302.7486377,72.2,5.4,
199000,2020,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0,antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4,
299000,8510,HOUSE,HOUSE,GOOD,2,221.0,0,1.0,0.0,636.0,4.0,0.0,0.0,kortrijk,Other,74.59821239490768,57.498062211716864,1754096553.2486956,72.2,5.4,
229000,2490,HOUSE,HOUSE,GOOD,3,134.0,0,1.0,0.0,615.0,4.0,0.0,0.0,balen,Antwerp,68.34367769297633,50.875573519233455,1582459859.0,76.2,3.4,309.89656417769726
645000,1000,APARTMENT,APARTMENT,JUST_RENOVATED,2,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,saint-josse-ten-noode,Brussels Capital,1.2943533842238977,9.65606585114241,962645340.61,63.7,12.3,23324.26651353312
745000,1150,APARTMENT,APARTMENT,AS_NEW,2,128.0,0,1.0,0.0,0.0,2.0,0.0,0.0,woluwe-saint-pierre,Brussels Capital,6.763860980854028,8.336993173732244,3119975982.09,63.7,12.3,4678.100930832918
299000,9300,HOUSE,HOUSE,GOOD,3,127.0,0,0.0,0.0,0.0,2.0,0.0,0.0,aalst,East Flanders,23.666822825989403,30.98621838695354,1990062227.7286024,72.2,5.4,
675000,1000,APARTMENT,PENTHOUSE,AS_NEW,2,140.0,1,1.0,0.0,0.0,2.0,0.0,1.0,saint-josse-ten-noode,Brussels Capital,1.2943533842238977,9.65606585114241,962645340.61,63.7,12.3,23324.26651353312
330000,2860,HOUSE,APARTMENT_BLOCK,GOOD,3,166.0,0,0.0,0.0,134.0,2.0,0.0,0.0,sint-katelijne-waver,Antwerp,26.383039612165803,14.426491306235151,1640498371.63,76.2,3.4,575.0798050459547
379000,3550,HOUSE,HOUSE,AS_NEW,3,151.0,0,0.0,1.0,595.0,4.0,0.0,0.0,heusden-zolder,Limburg,68.40904258274198,42.66755562929568,2173372117.86,72.2,5.4,631.2527175347091
289000,2800,HOUSE,HOUSE,TO_RENOVATE,4,215.0,1,1.0,1.0,175.0,2.0,0.0,0.0,mechelen,Antwerp,21.5900469929997,14.353653278191508,1745305266.5072873,76.2,3.4,
165000,3000,APARTMENT,FLAT_STUDIO,GOOD,1,29.0,0,0.0,0.0,0.0,2.0,0.0,1.0,leuven,Flemish Brabant,23.837796855713574,15.306740877026208,1736432639.621848,72.2,5.4,
769000,8400,APARTMENT,APARTMENT,AS_NEW,2,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0,oostende,Other,107.55120326561163,4.043747855309444,1754096553.2486956,72.2,5.4,
345000,2830,APARTMENT,DUPLEX,AS_NEW,2,133.0,0,1.0,0.0,0.0,2.0,0.0,1.0,willebroek,Antwerp,23.74574258674539,15.631229716114856,1810658407.99,76.2,3.4,967.3476837740347
155000,1000,APARTMENT,KOT,AS_NEW,1,28.0,0,0.0,0.0,0.0,2.0,0.0,1.0,saint-josse-ten-noode,Brussels Capital,1.2943533842238977,9.65606585114241,962645340.61,63.7,12.3,23324.26651353312
298000,2580,APARTMENT,APARTMENT,GOOD,1,69.0,1,1.0,0.0,0.0,2.0,0.0,1.0,putte,Antwerp,29.19423118355905,19.055589937101427,1395666596.33,76.2,3.4,506.2834180831866
379000,8530,HOUSE,VILLA,GOOD,3,175.0,0,1.0,0.0,606.0,4.0,0.0,0.0,harelbeke,Other,72.60455226974649,51.90517936547197,1963403972.65,72.2,5.4,957.8878053411958
369000,9051,APARTMENT,APARTMENT,AS_NEW,2,85.0,1,1.0,0.0,0.0,2.0,0.0,1.0,gent,East Flanders,50.937307847543416,57.82852350403636,1990062227.7286024,72.2,5.4,
580000,1800,HOUSE,HOUSE,GOOD,4,220.0,0,1.0,0.0,525.0,4.0,0.0,0.0,vilvoorde,Flemish Brabant,10.386146123823856,5.051638365515204,1736432639.621848,72.2,5.4,
259000,2950,APARTMENT,APARTMENT,AS_NEW,2,82.0,1,0.0,0.0,0.0,3.0,0.0,1.0,kapellen,Antwerp,54.163077549640256,16.11623013231414,2332659748.26,76.2,3.4,
20000,1083,APARTMENT,APARTMENT,GOOD,3,121.0,0,1.0,0.0,0.0,2.0,0.0,1.0,ganshoren,Brussels Capital,3.997266047193669,12.634028468771808,1321548647.24,63.7,12.3,10232.118959168907
419000,8400,APARTMENT,APARTMENT,GOOD,2,105.0,0,1.0,0.0,0.0,2.0,0.0,1.0,oostende,Other,107.55120326561163,4.043747855309444,1754096553.2486956,72.2,5.4,
109000,4030,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,86.0,0,1.0,0.0,0.0,2.0,0.0,0.0,liège,Liège,92.11129718361302,11.926018138666992,10411526122.86,72.2,5.4,2874.2330376414893
210000,6060,HOUSE,APARTMENT_BLOCK,GOOD,3,172.0,0,1.0,1.0,0.0,2.0,0.0,0.0,charleroi,Hainaut,47.89258058606724,3.472797378788383,9552787098.79,68.1,6.8,1964.723429531124
238500,1410,APARTMENT,SERVICE_FLAT,AS_NEW,1,49.0,1,0.0,0.0,0.0,2.0,0.0,1.0,waterloo,Walloon Brabant,16.046038598752496,22.053885535170885,2529110710.17,72.2,5.4,1422.219687829156
421280,1800,APARTMENT,APARTMENT,AS_NEW,2,119.0,0,1.0,0.0,0.0,4.0,0.0,1.0,vilvoorde,Flemish Brabant,10.386146123823856,5.051638365515204,1736432639.621848,72.2,5.4,
475000,2020,HOUSE,APARTMENT_BLOCK,GOOD,2,185.0,0,0.0,0.0,92.0,2.0,0.0,0.0,antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4,
375000,9000,APARTMENT,APARTMENT,JUST_RENOVATED,1,70.0,1,1.0,0.0,0.0,2.0,0.0,0.0,gent,East Flanders,49.65667099682047,53.842745493866346,1990062227.7286024,72.2,5.4,
225000,1000,APARTMENT,APARTMENT,GOOD,1,50.0,0,1.0,0.0,0.0,2.0,0.0,1.0,saint-josse-ten-noode,Brussels Capital,1.2943533842238977,9.65606585114241,962645340.61,63.7,12.3,23324.26651353312
79000,7331,HOUSE,HOUSE,GOOD,2,70.0,0,0.0,0.0,280.0,2.0,0.0,0.0,saint-ghislain,Hainaut,54.35960644512377,43.36006929400242,1465312864.37,72.2,5.4,330.2534517797234
295000,4600,HOUSE,HOUSE,GOOD,4,172.0,0,1.0,1.0,150.0,2.0,0.0,0.0,visé,Liège,95.72429749671817,21.32381528602669,1130262484.59,72.2,5.4,642.4443876412485
609000,2000,APARTMENT,APARTMENT,AS_NEW,2,108.0,1,1.0,0.0,0.0,2.0,0.0,1.0,antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4,
595000,1060,APARTMENT,APARTMENT,JUST_RENOVATED,3,155.0,1,1.0,0.0,0.0,3.0,0.0,1.0,saint-gilles,Brussels Capital,2.367119984418256,12.652481324126706,2471113985.26,63.7,12.3,19892.22653085695
230000,4577,HOUSE,HOUSE,GOOD,3,114.0,0,1.0,1.0,434.0,3.0,0.0,0.0,modave,Liège,77.92370520244319,20.865915467851107,297763118.71000004,72.2,5.4,104.23584582637396
265000,8750,APARTMENT,APARTMENT,GOOD,2,71.0,0,1.0,0.0,0.0,2.0,0.0,1.0,wingene,Other,78.28200476188731,33.73463402956623,1014830833.83,72.2,5.4,208.08506245411348
270000,6700,HOUSE,HOUSE,TO_RENOVATE,3,160.0,0,1.0,1.0,161.0,2.0,0.0,0.0,arlon,Luxembourg,162.9079905511273,107.9382569859603,2326309741.49,68.1,6.8,250.77560448066075
225000,1020,APARTMENT,APARTMENT,TO_RENOVATE,2,82.0,0,1.0,0.0,0.0,2.0,0.0,1.0,bruxelles,Brussels Capital,3.014927999693443,8.28401069710616,8944820813.830002,63.7,12.3,5494.241531424213
179000,4400,HOUSE,HOUSE,TO_RESTORE,4,222.0,0,0.0,1.0,273.0,2.0,0.0,0.0,flémalle,Liège,81.11221220866523,4.939182805921518,1550234734.95,72.2,5.4,719.3236519983054
389000,2100,HOUSE,HOUSE,GOOD,3,233.0,0,0.0,1.0,215.0,2.0,0.0,0.0,antwerpen,Antwerp,41.46137691691177,2.994118698401872,1745305266.5072873,76.2,3.4,
280179,3980,APARTMENT,GROUND_FLOOR,GOOD,2,111.0,0,1.0,0.0,0.0,2.0,0.0,1.0,tessenderlo,Limburg,55.18509940854916,44.37397449599649,1350736914.19,72.2,5.4,360.44408074055855
795000,8300,APARTMENT,DUPLEX,GOOD,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,knokke-heist,Other,90.0906959404166,35.774400446684034,3203281012.67,72.2,5.4,537.8952444546014
449000,8200,APARTMENT,APARTMENT,AS_NEW,3,113.0,0,1.0,0.0,0.0,3.0,0.0,1.0,brugge,Other,90.9910617861971,21.48014189986049,1754096553.2486956,72.2,5.4,
345000,1040,APARTMENT,APARTMENT,GOOD,2,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0,bruxelles,Brussels Capital,3.014927999693443,8.28401069710616,8944820813.830002,63.7,12.3,5494.241531424213
459000,8500,HOUSE,HOUSE,JUST_RENOVATED,4,206.0,0,1.0,0.0,140.0,3.0,0.0,0.0,kortrijk,Other,75.60579498610886,52.78470177475659,1754096553.2486956,72.2,5.4,
130000,8430,APARTMENT,APARTMENT,GOOD,1,51.0,0,0.0,0.0,0.0,2.0,0.0,1.0,middelkerke,Other,112.06609140946324,4.315222147364613,1382187584.23,72.2,5.4,244.61036494927785
395000,3001,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,leuven,Flemish Brabant,23.837796855713574,15.306740877026208,1736432639.621848,72.2,5.4,
340000,3620,APARTMENT,APARTMENT,GOOD,2,97.0,0,1.0,0.0,0.0,2.0,0.0,1.0,lanaken,Limburg,90.9579347125954,32.51250727190714,1760527554.7800002,72.2,5.4,438.2813198568626
