Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%)
425000,2900,HOUSE,HOUSE,GOOD,2,164.0,0,1.0,0.0,256.0,2.0,0.0,0.0,Schoten,Antwerp,47.30286943582032,8.950999866208114,2643709969.13,76.2,3.4
293000,9660,HOUSE,HOUSE,GOOD,2,184.0,0,0.0,0.0,375.0,3.0,0.0,0.0,Brakel,East Flanders,41.59520542192861,51.71079222640094,1078402438.2600002,72.2,5.4
395000,2650,APARTMENT,APARTMENT,GOOD,2,112.0,0,1.0,1.0,0.0,3.0,0.0,1.0,Edegem,Antwerp,34.490926114804786,4.163204103368484,1817373977.15,76.2,3.4
205000,2060,APARTMENT,APARTMENT,GOOD,2,112.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4
120000,8000,APARTMENT,SERVICE_FLAT,GOOD,1,49.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brugge,Other,90.61028614550884,23.99214769355588,1754096553.2486956,72.2,5.4
370000,1970,APARTMENT,APARTMENT,GOOD,2,95.0,1,1.0,0.0,0.0,3.0,0.0,1.0,Wezembeek-Oppem,Flemish Brabant,9.912503482105327,6.50811809500158,1177259742.14,72.2,5.4
269000,8020,HOUSE,HOUSE,GOOD,3,160.0,0,0.0,1.0,225.0,2.0,0.0,0.0,Oostkamp,Other,85.22736533594018,26.404726960748405,1768817045.59,72.2,5.4
299898,3980,APARTMENT,APARTMENT,GOOD,3,107.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Tessenderlo,Limburg,55.18509940854916,44.37397449599649,1350736914.19,72.2,5.4
169000,8793,APARTMENT,APARTMENT,JUST_RENOVATED,2,77.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Waregem,Other,67.21380283470123,50.98602394616053,2727629954.19,72.2,5.4
175000,4020,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège,93.5154291057074,13.75280985443256,10411526122.86,72.2,5.4
